"","date","ccg_id","name","items","cost","list_size","covid_period"
"1","2016-11-01","02D","NHS VALE ROYAL CCG","8","22.6","0","pre-covid year 4"
"2","2016-11-01","93C","NHS NORTH CENTRAL LONDON CCG","10786","189907.84","1551497","pre-covid year 4"
"3","2016-11-01","72Q","NHS SOUTH EAST LONDON CCG","14652","248424.1","1893119","pre-covid year 4"
"4","2016-11-01","W2U3Z","NHS NORTH WEST LONDON CCG","18231","308508.76","2314285","pre-covid year 4"
"5","2016-11-01","A3A8R","NHS NORTH EAST LONDON CCG","17380","265331","2087962","pre-covid year 4"
"6","2016-11-01","36L","NHS SOUTH WEST LONDON CCG","15373","231825.6","1619563","pre-covid year 4"
"7","2016-11-01","07G","NHS THURROCK CCG","1862","27325.11","172272","pre-covid year 4"
"8","2016-11-01","15A","NHS BERKSHIRE WEST CCG","5767","88880.09","528810","pre-covid year 4"
"9","2016-11-01","04C","NHS LEICESTER CITY CCG","4396","62990.11","395141","pre-covid year 4"
"10","2016-11-01","09D","NHS BRIGHTON AND HOVE CCG","3580","44981.86","311413","pre-covid year 4"
"11","2016-11-01","10Q","NHS OXFORDSHIRE CCG","8286","128942.4","717856","pre-covid year 4"
"12","2016-11-01","D4U1Y","NHS FRIMLEY CCG","8946","138598.04","770335","pre-covid year 4"
"13","2016-11-01","92A","NHS SURREY HEARTLANDS CCG","12557","196077.49","1074537","pre-covid year 4"
"14","2016-11-01","06N","NHS HERTS VALLEYS CCG","7671","111575.64","635938","pre-covid year 4"
"15","2016-11-01","14L","NHS MANCHESTER CCG","7445","93305.9","611903","pre-covid year 4"
"16","2016-11-01","15F","NHS LEEDS CCG","10844","143824.07","857583","pre-covid year 4"
"17","2016-11-01","99E","NHS BASILDON AND BRENTWOOD CCG","3500","53904.4","275453","pre-covid year 4"
"18","2016-11-01","M1J4Y","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG","12519","183976.29","983930","pre-covid year 4"
"19","2016-11-01","15E","NHS BIRMINGHAM AND SOLIHULL CCG","16530","243496.92","1285130","pre-covid year 4"
"20","2016-11-01","05V","NHS STAFFORD AND SURROUNDS CCG","1907","27404.58","147259","pre-covid year 4"
"21","2016-11-01","99G","NHS SOUTHEND CCG","2417","34433.48","185948","pre-covid year 4"
"22","2016-11-01","14Y","NHS BUCKINGHAMSHIRE CCG","7258","106996.24","549458","pre-covid year 4"
"23","2016-11-01","03F","NHS HULL CCG","3911","58326.48","293696","pre-covid year 4"
"24","2016-11-01","01E","NHS GREATER PRESTON CCG","2764","36939.05","204270","pre-covid year 4"
"25","2016-11-01","91Q","NHS KENT AND MEDWAY CCG","25520","348888.91","1847215","pre-covid year 4"
"26","2016-11-01","07H","NHS WEST ESSEX CCG","4244","58371.66","306338","pre-covid year 4"
"27","2016-11-01","52R","NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG","14719","180529.28","1056936","pre-covid year 4"
"28","2016-11-01","05W","NHS STOKE ON TRENT CCG","4004","53083.49","287146","pre-covid year 4"
"29","2016-11-01","15C","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG","13785","163604.15","981577","pre-covid year 4"
"30","2016-11-01","D9Y0V","NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG","22920","324565.83","1612983","pre-covid year 4"
"31","2016-11-01","04Y","NHS CANNOCK CHASE CCG","1880","23107.42","132006","pre-covid year 4"
"32","2016-11-01","02G","NHS WEST LANCASHIRE CCG","1611","20369.82","112386","pre-covid year 4"
"33","2016-11-01","X2C4Y","NHS KIRKLEES CCG","6289","87407.39","435859","pre-covid year 4"
"34","2016-11-01","10R","NHS PORTSMOUTH CCG","3213","39682.32","222611","pre-covid year 4"
"35","2016-11-01","03Q","NHS VALE OF YORK CCG","5065","62181.99","350041","pre-covid year 4"
"36","2016-11-01","06K","NHS EAST AND NORTH HERTFORDSHIRE CCG","8539","107370.46","589511","pre-covid year 4"
"37","2016-11-01","03R","NHS WAKEFIELD CCG","5312","69899.47","366060","pre-covid year 4"
"38","2016-11-01","03N","NHS SHEFFIELD CCG","8543","118458","588619","pre-covid year 4"
"39","2016-11-01","00X","NHS CHORLEY AND SOUTH RIBBLE CCG","2623","36693.11","180333","pre-covid year 4"
"40","2016-11-01","03L","NHS ROTHERHAM CCG","3822","48142.27","260127","pre-covid year 4"
"41","2016-11-01","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG","20976","277309.42","1427343","pre-covid year 4"
"42","2016-11-01","02H","NHS WIGAN BOROUGH CCG","4788","57731.04","324444","pre-covid year 4"
"43","2016-11-01","05Q","NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG","3130","40852.37","211876","pre-covid year 4"
"44","2016-11-01","99F","NHS CASTLE POINT AND ROCHFORD CCG","2724","36296.34","184078","pre-covid year 4"
"45","2016-11-01","02E","NHS WARRINGTON CCG","3212","43513.01","215556","pre-covid year 4"
"46","2016-11-01","05G","NHS NORTH STAFFORDSHIRE CCG","3232","44888.1","216081","pre-covid year 4"
"47","2016-11-01","92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG","13561","185504.84","905382","pre-covid year 4"
"48","2016-11-01","06Q","NHS MID ESSEX CCG","5802","81048.82","385617","pre-covid year 4"
"49","2016-11-01","04V","NHS WEST LEICESTERSHIRE CCG","5734","69489.17","380937","pre-covid year 4"
"50","2016-11-01","03H","NHS NORTH EAST LINCOLNSHIRE CCG","2573","28866.19","168916","pre-covid year 4"
"51","2016-11-01","01G","NHS SALFORD CCG","4057","43868.83","263906","pre-covid year 4"
"52","2016-11-01","36J","NHS BRADFORD DISTRICT AND CRAVEN CCG","9586","117866.75","623286","pre-covid year 4"
"53","2016-11-01","27D","NHS CHESHIRE CCG","11656","168084.84","752864","pre-covid year 4"
"54","2016-11-01","03W","NHS EAST LEICESTERSHIRE AND RUTLAND CCG","5075","68964.6","323575","pre-covid year 4"
"55","2016-11-01","01F","NHS HALTON CCG","2048","25194.76","130229","pre-covid year 4"
"56","2016-11-01","99A","NHS LIVERPOOL CCG","8111","101116.2","514824","pre-covid year 4"
"57","2016-11-01","15M","NHS DERBY AND DERBYSHIRE CCG","16415","195468.49","1038638","pre-covid year 4"
"58","2016-11-01","06H","NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG","14890","183046.17","937196","pre-covid year 4"
"59","2016-11-01","06L","NHS IPSWICH AND EAST SUFFOLK CCG","6391","95342.5","401932","pre-covid year 4"
"60","2016-11-01","B2M3M","NHS COVENTRY AND WARWICKSHIRE CCG","15341","171511.93","963800","pre-covid year 4"
"61","2016-11-01","78H","NHS NORTHAMPTONSHIRE CCG","11843","130975.79","742980","pre-covid year 4"
"62","2016-11-01","02X","NHS DONCASTER CCG","5037","67427.51","315564","pre-covid year 4"
"63","2016-11-01","05D","NHS EAST STAFFORDSHIRE CCG","2228","30946.12","139259","pre-covid year 4"
"64","2016-11-01","11X","NHS SOMERSET CCG","9084","117649.27","565442","pre-covid year 4"
"65","2016-11-01","01V","NHS SOUTHPORT AND FORMBY CCG","1995","26363.85","123709","pre-covid year 4"
"66","2016-11-01","70F","NHS WEST SUSSEX CCG","14145","205350.74","874755","pre-covid year 4"
"67","2016-11-01","03K","NHS NORTH LINCOLNSHIRE CCG","2807","43094.38","172256","pre-covid year 4"
"68","2016-11-01","02A","NHS TRAFFORD CCG","3912","41742.19","238840","pre-covid year 4"
"69","2016-11-01","13T","NHS NEWCASTLE GATESHEAD CCG","8434","84241.08","513335","pre-covid year 4"
"70","2016-11-01","01T","NHS SOUTH SEFTON CCG","2561","35818.84","154618","pre-covid year 4"
"71","2016-11-01","01W","NHS STOCKPORT CCG","5140","54367.92","308001","pre-covid year 4"
"72","2016-11-01","00Q","NHS BLACKBURN WITH DARWEN CCG","2895","31734.88","172525","pre-covid year 4"
"73","2016-11-01","16C","NHS TEES VALLEY CCG","11750","136025.63","696364","pre-covid year 4"
"74","2016-11-01","00T","NHS BOLTON CCG","5133","67303.36","303689","pre-covid year 4"
"75","2016-11-01","01X","NHS ST HELENS CCG","3313","42655.02","195797","pre-covid year 4"
"76","2016-11-01","00Y","NHS OLDHAM CCG","4244","58360.97","250193","pre-covid year 4"
"77","2016-11-01","01D","NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG","3896","39479.85","228854","pre-covid year 4"
"78","2016-11-01","M2L0M","NHS SHROPSHIRE, TELFORD AND WREKIN CCG","8382","106434.77","487070","pre-covid year 4"
"79","2016-11-01","00V","NHS BURY CCG","3463","40574.9","201046","pre-covid year 4"
"80","2016-11-01","01A","NHS EAST LANCASHIRE CCG","6526","77895.32","376425","pre-covid year 4"
"81","2016-11-01","01J","NHS KNOWSLEY CCG","2852","37776.6","162766","pre-covid year 4"
"82","2016-11-01","02T","NHS CALDERDALE CCG","3855","40893.69","218898","pre-covid year 4"
"83","2016-11-01","97R","NHS EAST SUSSEX CCG","9798","127646.82","549802","pre-covid year 4"
"84","2016-11-01","71E","NHS LINCOLNSHIRE CCG","13882","173534.34","778545","pre-covid year 4"
"85","2016-11-01","42D","NHS NORTH YORKSHIRE CCG","7705","91638.78","423821","pre-covid year 4"
"86","2016-11-01","99C","NHS NORTH TYNESIDE CCG","4002","42443.07","217366","pre-covid year 4"
"87","2016-11-01","01Y","NHS TAMESIDE AND GLOSSOP CCG","4517","47080.82","245277","pre-covid year 4"
"88","2016-11-01","02P","NHS BARNSLEY CCG","4816","65089.51","257018","pre-covid year 4"
"89","2016-11-01","00N","NHS SOUTH TYNESIDE CCG","2928","35317.95","155989","pre-covid year 4"
"90","2016-11-01","11N","NHS KERNOW CCG","10579","121086.03","563362","pre-covid year 4"
"91","2016-11-01","06T","NHS NORTH EAST ESSEX CCG","6451","73824.41","343122","pre-covid year 4"
"92","2016-11-01","26A","NHS NORFOLK AND WAVENEY CCG","19523","254441.32","1035992","pre-covid year 4"
"93","2016-11-01","15N","NHS DEVON CCG","22627","285618.36","1197685","pre-covid year 4"
"94","2016-11-01","00P","NHS SUNDERLAND CCG","5370","55589.79","284028","pre-covid year 4"
"95","2016-11-01","02Y","NHS EAST RIDING OF YORKSHIRE CCG","5731","83432.83","301737","pre-covid year 4"
"96","2016-11-01","02Q","NHS BASSETLAW CCG","2200","21362.41","115058","pre-covid year 4"
"97","2016-11-01","11J","NHS DORSET CCG","15130","179181.99","789957","pre-covid year 4"
"98","2016-11-01","07K","NHS WEST SUFFOLK CCG","4772","65740.98","246895","pre-covid year 4"
"99","2016-11-01","12F","NHS WIRRAL CCG","6500","81714.99","334548","pre-covid year 4"
"100","2016-11-01","11M","NHS GLOUCESTERSHIRE CCG","12382","135860.96","635345","pre-covid year 4"
"101","2016-11-01","18C","NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG","15354","176049.5","779686","pre-covid year 4"
"102","2016-11-01","01K","NHS MORECAMBE BAY CCG","6922","73817.63","347686","pre-covid year 4"
"103","2016-11-01","01H","NHS NORTH CUMBRIA CCG","6437","78979.28","322815","pre-covid year 4"
"104","2016-11-01","00L","NHS NORTHUMBERLAND CCG","6501","63359.07","322944","pre-covid year 4"
"105","2016-11-01","00R","NHS BLACKPOOL CCG","3533","32390.15","171988","pre-covid year 4"
"106","2016-11-01","02M","NHS FYLDE AND WYRE CCG","3678","40352.43","169392","pre-covid year 4"
"107","2016-11-01","84H","NHS COUNTY DURHAM CCG","12388","115049.34","544072","pre-covid year 4"
